riskFrequency,pvalueDescription,pvalueMantissa,pvalueExponent,multiSnpHaplotype,snpInteraction,snpType,standardError,range,description,orPerCopyNum,betaNum,betaUnit,betaDirection,loci,lastMappingDate,lastUpdateDate,pvalue,associationId,haplotypeSnpCount,description,strongestRiskAlleles,authorReportedGenes,riskAlleleName,riskFrequency,genomeWide,limitedList
NR,(subset analysis),2,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs3853824-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'C17orf67', 'entrezGeneIds': [{'entrezGeneId': '339210'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000214226'}]}]}",2024-02-17T07:39:20.000+0000,2024-02-17T07:39:20.000+0000,2e-08,24298348,,Single variant,"[{'riskAlleleName': 'rs3853824-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'C17orf67', 'entrezGeneIds': [{'entrezGeneId': '339210'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000214226'}]}]",rs3853824-?,NR,False,False
NR,(subset analysis),3,-17,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs17229679-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'AC019330.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000225421'}]}]}",2024-02-17T07:37:40.000+0000,2024-02-17T07:37:40.000+0000,3e-17,24297685,,Single variant,"[{'riskAlleleName': 'rs17229679-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'AC019330.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000225421'}]}]",rs17229679-?,NR,False,False
NR,(subset analysis),1,-10,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6434978-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'AC019330.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000225421'}]}]}",2024-02-17T07:37:43.000+0000,2024-02-17T07:37:43.000+0000,1e-10,24297689,,Single variant,"[{'riskAlleleName': 'rs6434978-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'AC019330.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000225421'}]}]",rs6434978-?,NR,False,False
NR,(subset analysis),1,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs72871627-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IFIH1', 'entrezGeneIds': [{'entrezGeneId': '64135'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115267'}]}]}",2024-02-17T07:37:37.000+0000,2024-02-17T07:37:37.000+0000,1e-08,24297681,,Single variant,"[{'riskAlleleName': 'rs72871627-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IFIH1', 'entrezGeneIds': [{'entrezGeneId': '64135'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000115267'}]}]",rs72871627-?,NR,False,False
NR,(subset analysis),8,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1405108-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'AC018717.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000230407'}]}]}",2024-02-17T07:37:45.000+0000,2024-02-17T07:37:45.000+0000,8e-08,24297693,,Single variant,"[{'riskAlleleName': 'rs1405108-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'AC018717.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000230407'}]}]",rs1405108-?,NR,False,False
NR,(subset analysis),1,-20,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7426056-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CD28', 'entrezGeneIds': [{'entrezGeneId': '940'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178562'}]}]}",2024-02-17T07:37:46.000+0000,2024-02-17T07:37:46.000+0000,1e-20,24297697,,Single variant,"[{'riskAlleleName': 'rs7426056-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CD28', 'entrezGeneIds': [{'entrezGeneId': '940'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178562'}]}]",rs7426056-?,NR,False,False
NR,(subset analysis),3,-12,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11306716-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:37:48.000+0000,2024-02-17T07:37:48.000+0000,3e-12,24297701,,Single variant,"[{'riskAlleleName': 'rs11306716-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs11306716-?,NR,False,False
NR,(subset analysis),2,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs11676348-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CXCR2', 'entrezGeneIds': [{'entrezGeneId': '3579'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000180871'}]}]}",2024-02-17T07:37:49.000+0000,2024-02-17T07:37:49.000+0000,2e-11,24297705,,Single variant,"[{'riskAlleleName': 'rs11676348-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CXCR2', 'entrezGeneIds': [{'entrezGeneId': '3579'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000180871'}]}]",rs11676348-?,NR,False,False
NR,(subset analysis),8,-12,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7556897-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'AC073065.3', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:37:52.000+0000,2024-02-17T07:37:52.000+0000,8e-12,24297709,,Single variant,"[{'riskAlleleName': 'rs7556897-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'AC073065.3', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs7556897-?,NR,False,False
NR,(subset analysis),5,-15,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12694846-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SP140', 'entrezGeneIds': [{'entrezGeneId': '11262'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000079263'}]}]}",2024-02-17T07:37:53.000+0000,2024-02-17T07:37:53.000+0000,5.000000000000001e-15,24297714,,Single variant,"[{'riskAlleleName': 'rs12694846-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SP140', 'entrezGeneIds': [{'entrezGeneId': '11262'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000079263'}]}]",rs12694846-?,NR,False,False
NR,(subset analysis),5,-67,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs35300242-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ATG16L1', 'entrezGeneIds': [{'entrezGeneId': '55054'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000085978'}]}]}",2024-02-17T07:37:55.000+0000,2024-02-17T07:37:55.000+0000,5e-67,24297718,,Single variant,"[{'riskAlleleName': 'rs35300242-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ATG16L1', 'entrezGeneIds': [{'entrezGeneId': '55054'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000085978'}]}]",rs35300242-?,NR,False,False
NR,(subset analysis),2,-25,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs3749171-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]}",2024-02-17T07:37:57.000+0000,2024-02-17T07:37:57.000+0000,2e-25,24297722,,Single variant,"[{'riskAlleleName': 'rs3749171-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]",rs3749171-?,NR,False,False
NR,(subset analysis),6,-10,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4676406-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]}",2024-02-17T07:37:59.000+0000,2024-02-17T07:37:59.000+0000,6e-10,24297726,,Single variant,"[{'riskAlleleName': 'rs4676406-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GPR35', 'entrezGeneIds': [{'entrezGeneId': '2859'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178623'}]}]",rs4676406-?,NR,False,False
NR,(subset analysis),7,-10,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs35320439-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'GAL3ST2', 'entrezGeneIds': [{'entrezGeneId': '64090'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000154252'}]}]}",2024-02-17T07:38:02.000+0000,2024-02-17T07:38:02.000+0000,7.000000000000001e-10,24297730,,Single variant,"[{'riskAlleleName': 'rs35320439-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'GAL3ST2', 'entrezGeneIds': [{'entrezGeneId': '64090'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000154252'}]}]",rs35320439-?,NR,False,False
NR,(subset analysis),3,-13,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs73178598-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'AC144521.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000272477'}]}]}",2024-02-17T07:38:05.000+0000,2024-02-17T07:38:05.000+0000,3.0000000000000003e-13,24297734,,Single variant,"[{'riskAlleleName': 'rs73178598-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'AC144521.1', 'entrezGeneIds': [], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000272477'}]}]",rs73178598-?,NR,False,False
NR,(subset analysis),4,-7,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10510607-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CMC1', 'entrezGeneIds': [{'entrezGeneId': '152100'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187118'}]}]}",2024-02-17T07:38:07.000+0000,2024-02-17T07:38:07.000+0000,4e-07,24297738,,Single variant,"[{'riskAlleleName': 'rs10510607-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CMC1', 'entrezGeneIds': [{'entrezGeneId': '152100'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187118'}]}]",rs10510607-?,NR,False,False
NR,(subset analysis),8,-10,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs196941-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ERN1', 'entrezGeneIds': [{'entrezGeneId': '2081'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178607'}]}]}",2024-02-17T07:38:56.000+0000,2024-02-17T07:38:56.000+0000,8e-10,24298356,,Single variant,"[{'riskAlleleName': 'rs196941-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ERN1', 'entrezGeneIds': [{'entrezGeneId': '2081'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000178607'}]}]",rs196941-?,NR,False,False
NR,(subset analysis),6,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs17780256-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SLC39A11', 'entrezGeneIds': [{'entrezGeneId': '201266'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000133195'}]}]}",2024-02-17T07:38:59.000+0000,2024-02-17T07:38:59.000+0000,6e-11,24298360,,Single variant,"[{'riskAlleleName': 'rs17780256-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SLC39A11', 'entrezGeneIds': [{'entrezGeneId': '201266'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000133195'}]}]",rs17780256-?,NR,False,False
NR,(subset analysis),3,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1292035-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'RPS6KB1', 'entrezGeneIds': [{'entrezGeneId': '6198'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108443'}]}]}",2024-02-17T07:38:52.000+0000,2024-02-17T07:38:52.000+0000,3e-11,24298352,,Single variant,"[{'riskAlleleName': 'rs1292035-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'RPS6KB1', 'entrezGeneIds': [{'entrezGeneId': '6198'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000108443'}]}]",rs1292035-?,NR,False,False
NR,(subset analysis),1,-7,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7236492-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NFATC1', 'entrezGeneIds': [{'entrezGeneId': '4772'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000131196'}]}]}",2024-02-17T07:39:01.000+0000,2024-02-17T07:39:01.000+0000,1e-07,24298364,,Single variant,"[{'riskAlleleName': 'rs7236492-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NFATC1', 'entrezGeneIds': [{'entrezGeneId': '4772'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000131196'}]}]",rs7236492-?,NR,False,False
NR,(subset analysis),2,-26,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12968719-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'PTPN2', 'entrezGeneIds': [{'entrezGeneId': '5771'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000175354'}]}]}",2024-02-17T07:39:04.000+0000,2024-02-17T07:39:04.000+0000,2e-26,24298368,,Single variant,"[{'riskAlleleName': 'rs12968719-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'PTPN2', 'entrezGeneIds': [{'entrezGeneId': '5771'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000175354'}]}]",rs12968719-?,NR,False,False
NR,(subset analysis),1,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs62097857-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'PTPN2', 'entrezGeneIds': [{'entrezGeneId': '5771'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000175354'}]}]}",2024-02-17T07:39:06.000+0000,2024-02-17T07:39:06.000+0000,1e-11,24298372,,Single variant,"[{'riskAlleleName': 'rs62097857-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'PTPN2', 'entrezGeneIds': [{'entrezGeneId': '5771'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000175354'}]}]",rs62097857-?,NR,False,False
NR,(subset analysis),2,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs66504140-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CD226', 'entrezGeneIds': [{'entrezGeneId': '10666'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000150637'}]}]}",2024-02-17T07:39:07.000+0000,2024-02-17T07:39:07.000+0000,2e-08,24298376,,Single variant,"[{'riskAlleleName': 'rs66504140-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CD226', 'entrezGeneIds': [{'entrezGeneId': '10666'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000150637'}]}]",rs66504140-?,NR,False,False
NR,(subset analysis),4,-7,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs587259-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'LSM14', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:39:09.000+0000,2024-02-17T07:39:09.000+0000,4e-07,24298380,,Single variant,"[{'riskAlleleName': 'rs587259-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'LSM14', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs587259-?,NR,False,False
NR,(subset analysis),2,-18,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2024092-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SBNO2', 'entrezGeneIds': [{'entrezGeneId': '22904'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000064932'}]}]}",2024-02-17T07:39:13.000+0000,2024-02-17T07:39:13.000+0000,2e-18,24298385,,Single variant,"[{'riskAlleleName': 'rs2024092-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SBNO2', 'entrezGeneIds': [{'entrezGeneId': '22904'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000064932'}]}]",rs2024092-?,NR,False,False
NR,(subset analysis),4,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs72977586-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'STK11', 'entrezGeneIds': [{'entrezGeneId': '6794'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000118046'}]}]}",2024-02-17T07:39:15.000+0000,2024-02-17T07:39:15.000+0000,4e-09,24298389,,Single variant,"[{'riskAlleleName': 'rs72977586-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'STK11', 'entrezGeneIds': [{'entrezGeneId': '6794'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000118046'}]}]",rs72977586-?,NR,False,False
NR,(subset analysis),2,-22,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs74956615-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'RAVER1', 'entrezGeneIds': [{'entrezGeneId': '125950'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000161847'}]}]}",2024-03-07T03:24:09.000+0000,2024-03-07T03:24:09.000+0000,2e-22,24298393,,Single variant,"[{'riskAlleleName': 'rs74956615-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'RAVER1', 'entrezGeneIds': [{'entrezGeneId': '125950'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000161847'}]}]",rs74956615-?,NR,False,False
NR,(subset analysis),5,-12,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs35018800-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]}",2024-02-17T07:39:22.000+0000,2024-02-17T07:39:22.000+0000,5e-12,24298397,,Single variant,"[{'riskAlleleName': 'rs35018800-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]",rs35018800-?,NR,False,False
NR,(subset analysis),2,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12720356-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]}",2024-02-17T07:39:24.000+0000,2024-02-17T07:39:24.000+0000,2e-09,24298401,,Single variant,"[{'riskAlleleName': 'rs12720356-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TYK2', 'entrezGeneIds': [{'entrezGeneId': '7297'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000105397'}]}]",rs12720356-?,NR,False,False
NR,(subset analysis),6,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs35074907-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'KEAP1', 'entrezGeneIds': [{'entrezGeneId': '9817'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000079999'}]}]}",2024-02-17T07:39:26.000+0000,2024-02-17T07:39:26.000+0000,6.000000000000001e-09,24298405,,Single variant,"[{'riskAlleleName': 'rs35074907-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'KEAP1', 'entrezGeneIds': [{'entrezGeneId': '9817'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000079999'}]}]",rs35074907-?,NR,False,False
NR,(subset analysis),2,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4802307-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'PPP5C', 'entrezGeneIds': [{'entrezGeneId': '5536'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000011485'}]}]}",2024-02-17T07:39:29.000+0000,2024-02-17T07:39:29.000+0000,2e-11,24298409,,Single variant,"[{'riskAlleleName': 'rs4802307-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'PPP5C', 'entrezGeneIds': [{'entrezGeneId': '5536'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000011485'}]}]",rs4802307-?,NR,False,False
NR,(subset analysis),1,-38,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs3024493-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL10', 'entrezGeneIds': [{'entrezGeneId': '3586'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000136634'}]}]}",2024-02-17T06:37:23.000+0000,2024-02-17T06:37:23.000+0000,1e-38,24297603,,Single variant,"[{'riskAlleleName': 'rs3024493-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL10', 'entrezGeneIds': [{'entrezGeneId': '3586'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000136634'}]}]",rs3024493-?,NR,False,False
NR,(subset analysis),3,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs12075255-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T06:37:24.000+0000,2024-02-17T06:37:24.000+0000,3e-11,24297607,,Single variant,"[{'riskAlleleName': 'rs12075255-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs12075255-?,NR,False,False
